,Date,Store,Holiday Name,Is Holiday,Weekly_Sales,Temperature,CPI,Unemployment,Fuel_Price,Temp Category,Unemployment Category
0,2010-02-05,1,No Holiday,No Holiday,1643690.9000000006,6,211.10000000000025,8.105999999999996,2.5699999999999954,0°C to 9°C,Normal: 6%-9%
1,2010-02-05,2,No Holiday,No Holiday,2136989.459999999,5,210.75,8.324,2.5699999999999954,0°C to 9°C,Normal: 6%-9%
2,2010-02-05,3,No Holiday,No Holiday,461622.22000000003,8,214.42000000000004,7.367999999999996,2.569999999999996,0°C to 9°C,Normal: 6%-9%
3,2010-02-05,4,No Holiday,No Holiday,2135143.87,7,126.43999999999991,8.623000000000003,2.5999999999999965,0°C to 9°C,Normal: 6%-9%
4,2010-02-05,5,No Holiday,No Holiday,317173.10000000003,4,211.64999999999978,6.565999999999992,2.569999999999996,0°C to 9°C,Normal: 6%-9%
5,2010-02-05,6,No Holiday,No Holiday,1652635.0999999996,5,212.62000000000032,7.259000000000004,2.5699999999999954,0°C to 9°C,Normal: 6%-9%
6,2010-02-05,7,No Holiday,No Holiday,496725.4399999998,-12,189.37999999999974,9.014000000000006,2.580000000000003,<-10°C,High: >9%
7,2010-02-05,8,No Holiday,No Holiday,1004137.0900000001,1,214.46999999999974,6.298999999999994,2.569999999999996,0°C to 9°C,Normal: 6%-9%
8,2010-02-05,9,No Holiday,No Holiday,549505.55,3,214.65999999999988,6.415000000000005,2.569999999999996,0°C to 9°C,Normal: 6%-9%
9,2010-02-05,10,No Holiday,No Holiday,2193048.7499999995,12,126.43999999999993,9.76499999999999,2.9600000000000013,10°C to 19°C,High: >9%
10,2010-02-05,11,No Holiday,No Holiday,1528008.6400000006,8,214.42000000000004,7.3679999999999986,2.5699999999999954,0°C to 9°C,Normal: 6%-9%
11,2010-02-05,12,No Holiday,No Holiday,1100046.37,10,126.43999999999988,13.975000000000014,2.960000000000001,10°C to 19°C,High: >9%
12,2010-02-05,13,No Holiday,No Holiday,1967220.5300000005,0,126.43999999999993,8.315999999999995,2.6699999999999964,0°C to 9°C,Normal: 6%-9%
13,2010-02-05,14,No Holiday,No Holiday,2623469.9499999997,-3,181.87000000000023,8.991999999999999,2.7800000000000007,-10°C to -1°C,Normal: 6%-9%
14,2010-02-05,15,No Holiday,No Holiday,652122.4400000002,-7,131.53,8.350000000000012,2.949999999999997,-10°C to -1°C,Normal: 6%-9%
15,2010-02-05,16,No Holiday,No Holiday,477409.2999999999,-7,189.3799999999998,7.038999999999992,2.580000000000002,-10°C to -1°C,Normal: 6%-9%
16,2010-02-05,17,No Holiday,No Holiday,789036.0199999999,-5,126.43999999999988,6.548000000000001,2.669999999999997,-10°C to -1°C,Normal: 6%-9%
17,2010-02-05,18,No Holiday,No Holiday,1205307.5,-6,131.52999999999997,9.202,2.789999999999999,-10°C to -1°C,High: >9%
