,Date,Store,Holiday Name,Is Holiday,Weekly_Sales,Temperature C,CPI,Unemployment,Fuel_Price,Temp Category,Unemployment Category
0,2010-02-05,1,No Holiday,No Holiday,1643690.9000000004,5.727777777777774,211.09635820000028,8.105999999999996,2.572000000000002,0°C to 9°C,Normal: 6%-9%
1,2010-02-05,2,No Holiday,No Holiday,2136989.46,4.550000000000006,210.7526053000001,8.324,2.572000000000002,0°C to 9°C,Normal: 6%-9%
2,2010-02-05,3,No Holiday,No Holiday,461622.22,7.616666666666673,214.4248812000001,7.367999999999996,2.572000000000002,0°C to 9°C,Normal: 6%-9%
3,2010-02-05,4,No Holiday,No Holiday,2135143.87,6.533333333333345,126.4420644999999,8.623000000000003,2.598000000000004,0°C to 9°C,Normal: 6%-9%
4,2010-02-05,5,No Holiday,No Holiday,317173.10000000003,4.277777777777777,211.65397160000023,6.565999999999992,2.572000000000002,0°C to 9°C,Normal: 6%-9%
5,2010-02-05,6,No Holiday,No Holiday,1652635.1,4.683333333333336,212.62235180000025,7.259000000000004,2.572000000000002,0°C to 9°C,Normal: 6%-9%
6,2010-02-05,7,No Holiday,No Holiday,496725.44,-11.92777777777778,189.3816974000001,9.014000000000006,2.580000000000003,<-10°C,High: >9%
7,2010-02-05,8,No Holiday,No Holiday,1004137.0900000001,1.1888888888888882,214.47145119999965,6.298999999999994,2.572000000000002,0°C to 9°C,Normal: 6%-9%
8,2010-02-05,9,No Holiday,No Holiday,549505.55,3.3388888888888935,214.65545910000023,6.415000000000005,2.572000000000002,0°C to 9°C,Normal: 6%-9%
9,2010-02-05,10,No Holiday,No Holiday,2193048.749999999,12.411111111111127,126.44206449999989,9.76499999999999,2.9619999999999966,10°C to 19°C,High: >9%
10,2010-02-05,11,No Holiday,No Holiday,1528008.6400000001,7.800000000000003,214.42488120000016,7.3679999999999986,2.572000000000002,0°C to 9°C,Normal: 6%-9%
11,2010-02-05,12,No Holiday,No Holiday,1100046.3699999999,9.705555555555554,126.44206449999994,13.975000000000014,2.961999999999997,10°C to 19°C,High: >9%
12,2010-02-05,13,No Holiday,No Holiday,1967220.5299999996,-0.26111111111111046,126.44206449999989,8.315999999999995,2.6659999999999977,0°C to 9°C,Normal: 6%-9%
13,2010-02-05,14,No Holiday,No Holiday,2623469.9500000007,-2.605555555555555,181.87118980000008,8.991999999999999,2.7839999999999985,-10°C to -1°C,Normal: 6%-9%
14,2010-02-05,15,No Holiday,No Holiday,652122.4400000001,-6.761111111111118,131.5279031999999,8.350000000000012,2.9540000000000006,-10°C to -1°C,Normal: 6%-9%
15,2010-02-05,16,No Holiday,No Holiday,477409.29999999976,-6.783333333333344,189.3816974000001,7.038999999999992,2.580000000000002,-10°C to -1°C,Normal: 6%-9%
16,2010-02-05,17,No Holiday,No Holiday,789036.0199999998,-4.9388888888888856,126.44206449999994,6.548000000000001,2.6659999999999977,-10°C to -1°C,Normal: 6%-9%
